application_id,business_name,sector,region,ethnic_group,years_in_operation,owner_gender,owner_age,disability_status,num_employees,annual_revenue_ghs,monthly_momo_volume_ghs,avg_monthly_bank_balance_ghs,bank_account_tenure_months,has_momo_account,gra_tin,loan_amount_requested_ghs,loan_purpose,collateral_type,collateral_value_ghs,previous_loan_count,previous_default,credit_bureau_score,rm_recommendation,internal_risk_grade,application_date,contact_phone,days_past_due_current,loan_default
SBG-2025-01722,Achimota Farms,Fishing,Ashanti,Akan,0.6,Female,34,No,2,11218.55,,1009.85,9,yes,P004187922,11131.47,Business Expansion,Property,29174.78,0,,,Approve,A,05/07/2024,0558707981,0,0
SBG-2025-02335,Kofi MotorsCo,Hospitality,Savannah,Mole-Dagbani,0.6,Female,31,No,19,5620.4,6873.49,398776.27,145,Yes,,35182.68,Asset Purchase,Stock/Inventory,15816.11,2,Yes,628,Refer,B,06/07/2025,0270660120,0,0
SBG-2025-00444,Dansoman TradingLtd,Hospitality,Greater Accra,Ga-Adangbe,2.3,female,32,No,8,39586.37,3048.94,832.24,133,Yes,,46426.97,Equipment,Land,13374.67,1,No,371,Decline,C,24/10/2025,0546332387,0,0
SBG-2025-02333,Airport City ConsultingCo,Manufacturing,Ashanti,Akan,4.6,male,56,No,5,45732.04,,1729.38,37,N,V004694441,92450.19,Equipment,Vehicle,60667.51,1,No,,Approve,B,18/10/2024,0244150848,0,0
SBG-2025-02884,Grace Foods LtdEnterprises,Education,Ashanti,Akan,0.4,Male,39,No,4,48242.71,4302.03,2499.47,73,Yes,V002568823,17879.01,Debt Refinancing,Cash Deposit,,4,No,,Refer,C,02/20/2025,0246443276,0,0
SBG-2025-00267,Haatso PropertiesCo,Construction,Ashanti,Gurma,6,female,34,No,6,6336.94,1959.98,3186.92,22,N,P000518145,2983.68,Inventory Purchase,None,0,0,No,,Approve,A,06/15/2025,0277354110,0,0
SBG-2025-01065,Kasoa Trading HubCo,Fishing,Western,Ewe,2.7,Female,36,No,10,9541.63,18296.8,,44,TRUE,,7407.12,Inventory Purchase,Property,67092.72,2,No,,Approve,B,12/25/2024,0245827334,0,0
SBG-2025-01193,Volta Farms,Retail/Trading,Upper East,Ewe,2.1,Male,50,No,1,193829.36,2021.47,9397.85,7,1,,1135.46,Inventory Purchase,Vehicle,61642.24,2,No,466,Approve,B,11/10/2024,0245832628,0,0
SBG-2025-00103,Cape Coast HospitalityCo,Hospitality,Northern,Gurma,1.9,Female,41,No,40,15858,338.57,7039.07,46,Y,,57029.99,Business Expansion,None,0,2,No,,Decline,B,01/28/2024,0246060732,0,0
SBG-2025-01362,Grace Foods LtdGH,ICT,Northern,Ga-Adangbe,1.2,Female,28,No,30,,8457.74,18290.96,43,yes,P008358448,16949.01,Debt Refinancing,Stock/Inventory,,0,,,Approve,A,20/12/2025,0543103347,0,0
SBG-2025-00638,Dome PharmacyLtd,Mining/Quarrying,Ashanti,Akan,1.4,M,42,No,7,23832,8665.6,38352.65,211,Yes,C003292866,4200.81,Vehicle Purchase,None,0,0,,,Approve,C,18/01/2024,0542249962,0,0
SBG-2025-00479,Nkrumah Circle ElectronicsCo,Hospitality,Greater Accra,Mole-Dagbani,17.4,Female,51,No,8,129909.72,1117,42269.85,101,TRUE,,20724.26,Debt Refinancing,Property,48513.04,1,No,,Approve,C,01/09/2024,0245538145,0,0
